Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
18-Jan-17;184.00;192.70;184.00;186.25;188.802.729.528.535.000.000;13702;568;2586975.00;4991;36.43;8.70;2.25
17-Jan-17;180.25;190.00;180.25;184.05;186.026.979.055.733.000.000;2817;144;524038.00;372;13.21;9.75;3.80
16-Jan-17;183.50;187.90;179.50;180.25;182.649.681.528.662.000.000;1727;101;315436.00;670;38.80;8.40;-3.25
13-Jan-17;184.50;187.00;180.90;182.15;184.370.742.358.078.000.000;2290;66;422209.00;1917;83.71;6.10;-2.35
12-Jan-17;188.00;188.00;184.25;185.40;185.666.911.225.238.000.000;1363;77;253064.00;789;57.89;3.75;-2.60
11-Jan-17;181.50;192.20;179.00;187.50;186.902.415.380.886.000.000;12379;395;2313665.00;5397;43.60;13.20;6.00
10-Jan-17;180.10;183.95;177.00;182.30;181.428.163.459.577.000.000;14707;529;2668264.00;4617;31.39;6.95;2.20
09-Jan-17;166.00;189.10;166.00;180.10;182.610.623.337.826.000.000;54898;1506;10024958.00;10760;19.60;23.10;14.10
06-Jan-17;165.00;165.00;164.00;164.10;164.256.250.000.000.000.000;800;16;131405.00;655;81.88;1.00;-0.90
05-Jan-17;166.00;169.45;163.30;167.85;165.887.236.679.058.000.000;1614;66;267742.00;1370;84.88;6.15;1.85
04-Jan-17;157.85;165.95;155.50;164.40;160.047.112.462.006.000.000;11186;126;1790287.00;6524;58.32;10.45;6.55
03-Jan-17;154.95;157.90;154.95;157.85;155.790.384.615.384.000.000;520;19;81011.00;334;64.23;2.95;2.90
02-Jan-17;150.95;155.00;150.95;152.00;152.586.890.243.902.000.000;656;37;100097.00;510;77.74;4.05;1.05
30-Dec-16;149.70;151.00;149.50;150.00;150.083.636.363.636.000.000;825;20;123819.00;608;73.70;1.50;0.30
29-Dec-16;150.00;153.00;148.25;149.15;150.310.679.611.650.000.000;824;33;123856.00;521;63.23;4.75;-0.85
28-Dec-16;151.25;154.40;150.00;150.00;151.127.232.142.857.000.000;1344;19;203115.00;1253;93.23;4.40;-1.25
27-Dec-16;147.45;150.80;147.45;149.70;149.468.649.517.684.000.000;1244;20;185939.00;1179;94.77;3.35;2.25
26-Dec-16;149.00;151.40;146.20;147.65;148.732.044.198.895.000.000;362;20;53841.00;250;69.06;5.20;-1.35
23-Dec-16;150.00;152.50;148.00;150.45;149.760.107.816.711.000.000;742;39;111122.00;626;84.37;4.50;0.45
22-Dec-16;151.00;151.90;150.30;150.30;151.812.500.000.000.000.000;32;3;4858.00;31;96.88;1.60;-0.70
21-Dec-16;152.00;154.00;151.00;153.00;152.063.233.965.672.000.000;1107;34;168334.00;828;74.80;3.00;1.00
20-Dec-16;153.10;155.45;151.00;152.55;153.100.103.199.174.000.000;969;35;148354.00;770;79.46;4.45;-0.55
19-Dec-16;157.50;157.50;152.20;154.25;155.376.160.990.712.000.000;646;28;100373.00;541;83.75;5.30;-3.25
16-Dec-16;159.00;159.45;157.00;159.45;159.178.217.821.782.000.000;101;4;16077.00;50;49.50;2.45;0.45
15-Dec-16;160.00;161.00;157.05;160.95;160.190.000.000.000.000.000;400;22;64076.00;110;27.50;3.95;0.95
14-Dec-16;156.00;162.00;156.00;159.45;159.776.675.786.593.000.000;2924;48;467187.00;2810;96.10;6.00;3.45
13-Dec-16;155.00;159.45;155.00;159.45;156.898.630.136.986.000.000;365;12;57268.00;166;45.48;4.45;4.45
12-Dec-16;159.00;159.00;155.00;157.10;156.847.682.119.205.000.000;151;8;23684.00;96;63.58;4.00;-1.90
09-Dec-16;156.00;158.35;153.00;156.15;154.970.537.261.698.000.000;1154;41;178836.00;833;72.18;5.35;0.15
08-Dec-16;150.35;157.45;150.35;153.35;153.116.167.664.670.000.000;835;41;127852.00;379;45.39;7.10;3.00
07-Dec-16;151.50;154.95;151.50;154.50;153.668.112.798.264.000.000;461;16;70841.00;340;73.75;3.45;3.00
06-Dec-16;150.10;155.35;150.10;154.90;153.487.544.483.985.000.000;281;16;43130.00;192;68.33;5.25;4.80
05-Dec-16;156.80;157.00;151.00;152.05;153.196.018.376.722.000.000;653;67;100037.00;304;46.55;6.00;-4.75
02-Dec-16;157.00;160.90;155.70;156.85;158.107.142.857.142.000.000;196;46;30989.00;96;48.98;5.20;-0.15
01-Dec-16;159.50;161.70;157.05;160.90;159.724.543.080.939.000.000;766;17;122349.00;547;71.41;4.65;1.40
30-Nov-16;160.60;162.00;157.65;160.70;160.397.790.055.248.000.000;362;19;58064.00;281;77.62;4.35;0.10
29-Nov-16;161.00;164.00;156.00;156.85;160.138.231.631.382.000.000;803;59;128591.00;403;50.19;8.00;-4.15
28-Nov-16;157.50;161.20;155.55;158.60;159.049.295.774.647.000.000;426;18;67755.00;172;40.38;5.65;1.10
25-Nov-16;152.90;162.65;152.90;160.95;160.288.908.765.652.000.000;1118;101;179203.00;840;75.13;9.75;8.05
24-Nov-16;151.00;153.95;149.50;152.00;152.097.922.848.664.000.000;337;30;51257.00;251;74.48;4.45;1.00
23-Nov-16;145.00;154.00;144.30;152.30;146.786.022.020.105.000.000;2089;68;306636.00;1781;85.26;9.70;7.30
22-Nov-16;144.10;150.95;144.10;147.25;147.303.120.356.612.000.000;673;23;99135.00;427;63.45;6.85;3.15
21-Nov-16;154.20;156.35;145.15;147.05;149.107.530.417.625.000.000;3041;112;453436.00;1594;52.42;11.20;-7.15
18-Nov-16;156.35;159.90;153.00;156.35;156.194.135.490.394.000.000;989;39;154476.00;620;62.69;6.90;0.00
17-Nov-16;155.25;158.85;152.60;155.80;154.911.740.216.486.000.000;1201;60;186049.00;616;51.29;6.25;0.55
16-Nov-16;159.00;163.00;155.80;160.55;158.762.801.648.028.000.000;1699;83;269738.00;701;41.26;7.20;1.55
15-Nov-16;163.35;163.35;156.00;158.25;159.580.000.000.000.000.000;3650;150;582467.00;1974;54.08;7.35;-5.10
11-Nov-16;166.70;169.00;163.90;165.85;165.435.398.230.088.000.000;565;42;93471.00;298;52.74;5.10;-0.85
10-Nov-16;169.55;174.30;168.00;169.90;170.071.428.571.428.000.000;2226;106;378579.00;752;33.78;6.30;0.35
09-Nov-16;155.00;169.95;149.35;166.35;159.468.293.120.459.000.000;11149;301;1777912.00;3539;31.74;20.60;11.35
08-Nov-16;171.00;178.50;171.00;173.90;174.190.236.991.241.000.000;15528;483;2704826.00;5407;34.82;7.50;2.90
07-Nov-16;164.00;170.00;162.70;167.00;167.363.636.363.636.000.000;2211;101;370041.00;1122;50.75;7.30;3.00
04-Nov-16;167.10;170.50;164.25;166.00;165.546.168.958.742.000.000;2036;51;337052.00;1724;84.68;6.25;-1.10
03-Nov-16;170.50;172.90;165.00;169.20;170.451.935.914.552.000.000;1498;78;255337.00;819;54.67;7.90;-1.30
02-Nov-16;170.70;173.50;168.30;170.20;171.739.417.262.231.000.000;1819;84;312394.00;1072;58.93;5.20;-0.50
01-Nov-16;174.60;174.90;170.00;170.90;171.402.302.332.626.000.000;3301;68;565799.00;2615;79.22;4.90;-3.70
30-Oct-16;174.00;174.75;173.00;173.70;173.688.336.520.076.000.000;523;56;90839.00;251;47.99;1.75;-0.30
28-Oct-16;171.80;173.00;170.50;172.20;172.440.074.326.416.000.000;3229;96;556809.00;1941;60.11;2.50;0.40
27-Oct-16;171.00;172.50;170.10;172.05;170.983.525.535.420.000.000;1821;33;311361.00;1539;84.51;2.40;1.05
26-Oct-16;171.50;172.00;170.50;171.85;171.579.234.972.677.000.000;549;15;94197.00;403;73.41;1.50;0.35
25-Oct-16;172.00;175.00;171.50;171.75;172.130.898.876.404.000.000;1780;45;306393.00;1329;74.66;3.50;-0.25
24-Oct-16;173.90;175.00;171.90;172.40;173.071.310.663.585.000.000;3029;68;524233.00;1871;61.77;3.10;-1.50
21-Oct-16;174.00;175.10;170.35;171.00;172.484.355.444.305.000.000;1598;41;275630.00;887;55.51;4.75;-3.00
20-Oct-16;174.10;178.00;173.05;174.75;175.789.941.972.920.000.000;2585;70;454417.00;1216;47.04;4.95;0.65
19-Oct-16;172.00;175.00;170.25;173.20;173.092.004.753.013.000.000;5891;58;1019685.00;5374;91.22;4.75;1.20
18-Oct-16;170.10;172.80;168.45;170.30;170.445.745.511.319.000.000;2562;65;436682.00;1579;61.63;4.35;0.20
17-Oct-16;170.00;173.30;168.00;170.95;170.640.631.163.708.000.000;2535;62;432574.00;1952;77.00;5.30;0.95
14-Oct-16;173.00;174.60;170.10;171.35;171.914.267.834.793.000.000;1598;43;274719.00;1323;82.79;4.50;-1.65
13-Oct-16;176.00;178.00;170.20;171.75;173.002.613.999.419.000.000;3443;76;595648.00;2062;59.89;7.80;-4.25
10-Oct-16;178.85;182.85;176.00;179.80;177.982.728.842.832.000.000;1158;45;206104.00;537;46.37;6.85;0.95
07-Oct-16;179.00;180.00;177.95;179.00;179.016.528.925.619.000.000;484;22;86644.00;310;64.05;2.05;0.00
06-Oct-16;181.00;182.00;180.00;181.60;180.859.414.758.269.000.000;3144;45;568622.00;2560;81.42;2.00;0.60
05-Oct-16;181.00;185.00;178.20;181.40;180.698.104.892.022.000.000;2269;63;410004.00;946;41.69;6.80;0.40
04-Oct-16;181.00;184.70;178.50;179.25;181.589.549.673.427.000.000;5818;122;1056488.00;3131;53.82;6.20;-1.75
03-Oct-16;181.25;182.80;178.00;179.00;179.250.240.430.852.000.000;5199;87;931922.00;4818;92.67;4.80;-2.25
30-Sep-16;175.50;184.00;173.00;178.00;176.687.041.564.792.000.000;6544;143;1156240.00;2453;37.48;11.00;2.50
29-Sep-16;183.75;184.00;170.20;172.15;177.534.656.232.532.000.000;3578;107;635219.00;2390;66.80;13.80;-11.60
28-Sep-16;187.00;190.00;181.90;185.30;185.462.787.550.744.000.000;1478;72;274114.00;780;52.77;8.10;-1.70
27-Sep-16;183.00;186.60;183.00;185.25;184.373.877.551.020.000.000;1225;56;225858.00;957;78.12;3.60;2.25
26-Sep-16;188.80;188.85;181.65;183.35;185.591.014.975.041.000.000;3005;112;557701.00;2290;76.21;7.20;-5.45
23-Sep-16;189.80;190.00;185.20;186.35;187.595.324.898.134.000.000;4663;137;874757.00;2911;62.43;4.80;-3.45
22-Sep-16;193.50;193.50;187.55;188.60;189.764.957.918.898.000.000;6535;182;1240114.00;4240;64.88;5.95;-4.90
21-Sep-16;194.00;196.90;190.25;193.85;192.973.272.933.182.000.000;4415;186;851977.00;2773;62.81;6.65;-0.15
20-Sep-16;187.50;202.50;185.80;193.75;197.095.323.036.763.000.000;22985;855;4530236.00;9531;41.47;16.70;6.25
19-Sep-16;190.75;194.00;185.80;188.80;190.350.314.825.414.000.000;1747;83;332542.00;705;40.35;8.20;-1.95
16-Sep-16;182.00;203.00;180.00;190.70;195.712.711.864.406.000.000;21240;773;4156938.00;5734;27.00;23.00;8.70
15-Sep-16;175.35;185.15;175.10;184.90;182.938.043.128.419.000.000;6214;147;1136777.00;5275;84.89;10.05;9.55
14-Sep-16;171.40;181.75;169.00;176.75;176.730.581.939.154.000.000;20741;114;3665569.00;11977;57.75;12.75;5.35
12-Sep-16;171.90;174.00;166.80;172.80;172.100.709.438.618.000.000;6484;58;1115901.00;6072;93.65;7.20;0.90
09-Sep-16;179.00;184.50;173.50;174.40;176.366.840.208.249.000.000;4994;115;880776.00;3467;69.42;11.00;-4.60
08-Sep-16;181.70;182.00;178.30;178.30;179.796.737.766.624.000.000;2391;50;429894.00;1356;56.71;3.70;-3.40
07-Sep-16;176.40;187.50;176.40;179.50;182.293.622.329.642.000.000;6413;216;1169049.00;3026;47.19;11.10;3.10
06-Sep-16;178.50;179.70;173.40;176.60;176.246.153.846.153.000.000;2145;84;378048.00;1614;75.24;6.30;-1.90
02-Sep-16;179.40;182.00;174.10;176.00;177.818.426.361.802.000.000;2974;51;528832.00;1768;59.45;7.90;-3.40
01-Sep-16;177.35;180.90;173.50;179.40;178.889.977.728.285.000.000;6735;98;1204824.00;2814;41.78;7.40;2.05
31-Aug-16;175.00;178.60;173.40;177.50;175.693.114.080.164.000.000;4865;93;854747.00;3812;78.36;5.20;2.50
30-Aug-16;172.40;173.90;168.60;173.05;170.912.302.839.116.000.000;1585;71;270896.00;803;50.66;5.30;0.65
29-Aug-16;167.00;175.40;167.00;171.00;171.527.870.284.435.000.000;18317;490;3141876.00;8425;46.00;8.40;4.00
26-Aug-16;162.50;166.40;161.90;165.00;164.507.094.211.123.000.000;3524;89;579723.00;2676;75.94;4.50;2.50
25-Aug-16;161.35;164.90;159.00;162.70;161.198.308.085.776.000.000;5083;135;819371.00;2626;51.66;5.90;1.35
24-Aug-16;162.50;162.70;160.60;161.90;161.421.574.705.517.000.000;1613;45;260373.00;1337;82.89;2.10;-0.60
23-Aug-16;161.55;163.05;159.00;160.50;160.689.380.530.973.000.000;2260;62;363158.00;1219;53.94;4.05;-1.05
22-Aug-16;162.00;164.70;160.35;161.10;161.874.195.435.927.000.000;3418;72;553286.00;2026;59.27;4.35;-0.90
19-Aug-16;162.95;163.70;161.00;162.05;162.454.094.292.803.000.000;1209;46;196407.00;956;79.07;2.70;-0.90
