Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
12-Aug-16;74.75;75.65;73.50;73.70;74.163.630.341.172.500.000;3019;59;223900.00;2322;76.91;2.15;-1.05
11-Aug-16;74.05;75.15;74.00;74.20;74.362.415.672.029.000.000;15416;170;1146371.00;11212;72.73;1.15;0.15
10-Aug-16;78.10;78.10;76.95;77.05;77.409.338.705.854.400.000;4219;42;326590.00;3130;74.19;1.15;-1.05
09-Aug-16;78.15;79.35;77.30;77.35;78.018.794.353.895.300.000;12823;141;1000435.00;7543;58.82;2.05;-0.80
08-Aug-16;77.15;79.70;77.15;78.50;78.881.987.577.639.700.000;1127;27;88900.00;967;85.80;2.55;1.35
05-Aug-16;79.80;79.80;77.45;77.85;78.555.987.055.016.100.000;13905;130;1092321.00;9203;66.18;2.35;-1.95
04-Aug-16;78.80;81.50;78.00;78.40;78.551.312.274.084.500.000;6363;141;499822.00;3761;59.11;3.50;-0.40
03-Aug-16;78.85;79.00;77.50;77.65;78.047.196.408.060.900.000;9577;105;747458.00;7477;78.07;1.50;-1.20
02-Aug-16;80.75;80.75;79.60;79.90;80.003.397.027.600.800.000;2355;35;188408.00;1885;80.04;1.15;-0.85
01-Aug-16;84.00;84.00;80.30;80.90;82.068.502.962.818.200.000;15357;201;1260326.00;9578;62.37;3.70;-3.10
29-Jul-16;78.50;87.00;78.00;82.60;82.761.186.276.593.200.000;42351;680;3505019.00;20397;48.16;9.00;4.10
28-Jul-16;78.45;79.10;78.00;78.80;78.537.081.560.939.500.000;5407;69;424650.00;3837;70.96;1.10;0.35
27-Jul-16;79.50;80.10;77.80;78.05;78.440.749.586.625.000.000;5443;74;426953.00;4771;87.65;2.30;-1.45
26-Jul-16;80.95;81.00;78.65;79.30;80.137.538.252.295.100.000;5882;75;471369.00;3867;65.74;2.35;-1.65
